11:38:17.799 > Dispositivo iniciado, puedes conectarlo a Bluetooth
11:38:18.560 > t: 742 ms, ángulo: 7.56

11:38:18.560 > t: 743 ms, ángulo: 7.56

11:38:18.560 > t: 745 ms, ángulo: 7.65

11:38:18.560 > t: 746 ms, ángulo: 7.73

11:38:18.560 > t: 758 ms, ángulo: 8.17

11:38:18.560 > t: 759 ms, ángulo: 8.26

11:38:18.575 > t: 761 ms, ángulo: 8.26

11:38:18.575 > t: 762 ms, ángulo: 8.35

11:38:18.580 > t: 764 ms, ángulo: 8.44

11:38:18.580 > t: 765 ms, ángulo: 8.44

11:38:18.580 > t: 767 ms, ángulo: 8.53

11:38:18.580 > t: 768 ms, ángulo: 8.61

11:38:18.580 > t: 770 ms, ángulo: 8.61

11:38:18.591 > t: 771 ms, ángulo: 8.70

11:38:18.591 > t: 773 ms, ángulo: 8.79

11:38:18.591 > t: 774 ms, ángulo: 8.79

11:38:18.591 > t: 776 ms, ángulo: 8.88

11:38:18.591 > t: 787 ms, ángulo: 9.40

11:38:18.601 > t: 789 ms, ángulo: 9.40

11:38:18.601 > t: 790 ms, ángulo: 9.49

11:38:18.607 > t: 792 ms, ángulo: 9.58

11:38:18.607 > t: 793 ms, ángulo: 9.58

11:38:18.607 > t: 795 ms, ángulo: 9.67

11:38:18.607 > t: 796 ms, ángulo: 9.76

11:38:18.615 > t: 798 ms, ángulo: 9.84

11:38:18.615 > t: 799 ms, ángulo: 9.84

11:38:18.615 > t: 801 ms, ángulo: 9.93

11:38:18.615 > t: 802 ms, ángulo: 10.02

11:38:18.615 > t: 804 ms, ángulo: 10.02

11:38:18.615 > t: 805 ms, ángulo: 10.11

11:38:18.630 > t: 817 ms, ángulo: 10.55

11:38:18.632 > t: 818 ms, ángulo: 10.63

11:38:18.632 > t: 820 ms, ángulo: 10.63

11:38:18.632 > t: 821 ms, ángulo: 10.72

11:38:18.632 > t: 823 ms, ángulo: 10.81

11:38:18.632 > t: 824 ms, ángulo: 10.90

11:38:18.642 > t: 826 ms, ángulo: 10.90

11:38:18.642 > t: 827 ms, ángulo: 10.99

11:38:18.647 > t: 829 ms, ángulo: 11.07

11:38:18.647 > t: 830 ms, ángulo: 11.07

11:38:18.647 > t: 832 ms, ángulo: 11.16

11:38:18.647 > t: 833 ms, ángulo: 11.16

11:38:18.647 > t: 845 ms, ángulo: 11.60

11:38:18.647 > t: 846 ms, ángulo: 11.69

11:38:18.647 > t: 848 ms, ángulo: 11.69

11:38:18.663 > t: 849 ms, ángulo: 11.78

11:38:18.663 > t: 851 ms, ángulo: 11.78

11:38:18.663 > t: 852 ms, ángulo: 11.87

11:38:18.663 > t: 854 ms, ángulo: 11.95

11:38:18.663 > t: 855 ms, ángulo: 11.95

11:38:18.663 > t: 857 ms, ángulo: 12.04

11:38:18.678 > t: 858 ms, ángulo: 12.04

11:38:18.680 > t: 860 ms, ángulo: 12.13

11:38:18.680 > t: 861 ms, ángulo: 12.13

11:38:18.680 > t: 873 ms, ángulo: 12.48

11:38:18.680 > t: 874 ms, ángulo: 12.48

11:38:18.680 > t: 876 ms, ángulo: 12.57

11:38:18.680 > t: 877 ms, ángulo: 12.57

11:38:18.695 > t: 879 ms, ángulo: 12.66

11:38:18.695 > t: 880 ms, ángulo: 12.66

11:38:18.695 > t: 882 ms, ángulo: 12.66

11:38:18.695 > t: 883 ms, ángulo: 12.74

11:38:18.705 > t: 885 ms, ángulo: 12.74

11:38:18.705 > t: 886 ms, ángulo: 12.83

11:38:18.705 > t: 888 ms, ángulo: 12.83

11:38:18.710 > t: 889 ms, ángulo: 12.83

11:38:18.710 > t: 901 ms, ángulo: 13.10

11:38:18.710 > t: 902 ms, ángulo: 13.10

11:38:18.710 > t: 904 ms, ángulo: 13.10

11:38:18.710 > t: 905 ms, ángulo: 13.10

11:38:18.710 > t: 907 ms, ángulo: 13.10

11:38:18.726 > t: 908 ms, ángulo: 13.10

11:38:18.726 > t: 910 ms, ángulo: 13.18

11:38:18.730 > t: 911 ms, ángulo: 13.18

11:38:18.730 > t: 913 ms, ángulo: 13.18

11:38:18.730 > t: 914 ms, ángulo: 13.18

11:38:18.730 > t: 916 ms, ángulo: 13.18

11:38:18.730 > t: 927 ms, ángulo: 13.27

11:38:18.742 > t: 929 ms, ángulo: 13.27

11:38:18.742 > t: 930 ms, ángulo: 13.27

11:38:18.742 > t: 932 ms, ángulo: 13.27

11:38:18.742 > t: 933 ms, ángulo: 13.27

11:38:18.752 > t: 935 ms, ángulo: 13.27

11:38:18.752 > t: 936 ms, ángulo: 13.27

11:38:18.752 > t: 938 ms, ángulo: 13.27

11:38:18.758 > t: 939 ms, ángulo: 13.27

11:38:18.758 > t: 941 ms, ángulo: 13.27

11:38:18.758 > t: 942 ms, ángulo: 13.27

11:38:18.758 > t: 944 ms, ángulo: 13.27

11:38:18.758 > t: 955 ms, ángulo: 13.18

11:38:18.758 > t: 957 ms, ángulo: 13.18

11:38:18.773 > t: 958 ms, ángulo: 13.18

11:38:18.773 > t: 960 ms, ángulo: 13.18

11:38:18.773 > t: 961 ms, ángulo: 13.18

11:38:18.780 > t: 963 ms, ángulo: 13.10

11:38:18.780 > t: 964 ms, ángulo: 13.10

11:38:18.780 > t: 966 ms, ángulo: 13.10

11:38:18.780 > t: 967 ms, ángulo: 13.10

11:38:18.789 > t: 969 ms, ángulo: 13.10

11:38:18.790 > t: 970 ms, ángulo: 13.10

11:38:18.790 > t: 972 ms, ángulo: 13.01

11:38:18.790 > t: 983 ms, ángulo: 12.83

11:38:18.790 > t: 985 ms, ángulo: 12.83

11:38:18.800 > t: 986 ms, ángulo: 12.83

11:38:18.800 > t: 988 ms, ángulo: 12.83

11:38:18.805 > t: 989 ms, ángulo: 12.74

11:38:18.805 > t: 991 ms, ángulo: 12.74

11:38:18.805 > t: 992 ms, ángulo: 12.74

11:38:18.805 > t: 994 ms, ángulo: 12.66

11:38:18.805 > t: 995 ms, ángulo: 12.66

11:38:18.805 > t: 997 ms, ángulo: 12.57

11:38:18.805 > t: 998 ms, ángulo: 12.57

11:38:18.821 > t: 1000 ms, ángulo: 12.57

11:38:18.821 > t: 1011 ms, ángulo: 12.30

11:38:18.821 > t: 1013 ms, ángulo: 12.22

11:38:18.821 > t: 1014 ms, ángulo: 12.22

11:38:18.830 > t: 1016 ms, ángulo: 12.22

11:38:18.830 > t: 1017 ms, ángulo: 12.13

11:38:18.830 > t: 1019 ms, ángulo: 12.13

11:38:18.837 > t: 1020 ms, ángulo: 12.04

11:38:18.837 > t: 1022 ms, ángulo: 12.04

11:38:18.837 > t: 1023 ms, ángulo: 11.95

11:38:18.837 > t: 1025 ms, ángulo: 11.95

11:38:18.847 > t: 1036 ms, ángulo: 11.60

11:38:18.847 > t: 1038 ms, ángulo: 11.60

11:38:18.852 > t: 1039 ms, ángulo: 11.51

11:38:18.852 > t: 1041 ms, ángulo: 11.51

11:38:18.852 > t: 1042 ms, ángulo: 11.51

11:38:18.852 > t: 1044 ms, ángulo: 11.43

11:38:18.852 > t: 1045 ms, ángulo: 11.43

11:38:18.852 > t: 1047 ms, ángulo: 11.34

11:38:18.868 > t: 1048 ms, ángulo: 11.25

11:38:18.868 > t: 1049 ms, ángulo: 11.25

11:38:18.868 > t: 1051 ms, ángulo: 11.16

11:38:18.868 > t: 1063 ms, ángulo: 10.90

11:38:18.868 > t: 1064 ms, ángulo: 10.81

11:38:18.880 > t: 1066 ms, ángulo: 10.81

11:38:18.880 > t: 1067 ms, ángulo: 10.81

11:38:18.884 > t: 1069 ms, ángulo: 10.72

11:38:18.884 > t: 1070 ms, ángulo: 10.63

11:38:18.884 > t: 1072 ms, ángulo: 10.63

11:38:18.884 > t: 1073 ms, ángulo: 10.55

11:38:18.894 > t: 1074 ms, ángulo: 10.55

11:38:18.894 > t: 1076 ms, ángulo: 10.46

11:38:18.900 > t: 1077 ms, ángulo: 10.46

11:38:18.900 > t: 1089 ms, ángulo: 10.11

11:38:18.900 > t: 1091 ms, ángulo: 10.11

11:38:18.900 > t: 1092 ms, ángulo: 10.02

11:38:18.900 > t: 1094 ms, ángulo: 10.02

11:38:18.900 > t: 1095 ms, ángulo: 9.93

11:38:18.900 > t: 1097 ms, ángulo: 9.93

11:38:18.916 > t: 1098 ms, ángulo: 9.84

11:38:18.916 > t: 1099 ms, ángulo: 9.84

11:38:18.916 > t: 1101 ms, ángulo: 9.76

11:38:18.916 > t: 1102 ms, ángulo: 9.76

11:38:18.916 > t: 1104 ms, ángulo: 9.76

11:38:18.916 > t: 1116 ms, ángulo: 9.40

11:38:18.930 > t: 1117 ms, ángulo: 9.40

11:38:18.933 > t: 1119 ms, ángulo: 9.32

11:38:18.933 > t: 1120 ms, ángulo: 9.32

11:38:18.933 > t: 1122 ms, ángulo: 9.32

11:38:18.933 > t: 1123 ms, ángulo: 9.23

11:38:18.933 > t: 1124 ms, ángulo: 9.23

