13:14:55.712 > Dispositivo iniciado, puedes conectarlo a Bluetooth
13:15:02.633 > t: 6490 ms, ángulo: 24.43
13:15:02.633 > t: 6494 ms, ángulo: 24.43
13:15:02.633 > t: 6497 ms, ángulo: 24.43
13:15:02.643 > t: 6501 ms, ángulo: 24.43
13:15:02.647 > t: 6504 ms, ángulo: 24.43
13:15:02.647 > t: 6508 ms, ángulo: 24.43
13:15:02.647 > t: 6512 ms, ángulo: 24.43
13:15:02.647 > t: 6515 ms, ángulo: 24.43
13:15:02.647 > t: 6519 ms, ángulo: 24.43
13:15:02.663 > t: 6522 ms, ángulo: 24.43
13:15:02.663 > t: 6526 ms, ángulo: 24.43
13:15:02.663 > t: 6529 ms, ángulo: 24.52
13:15:02.663 > t: 6533 ms, ángulo: 24.52
13:15:02.678 > t: 6536 ms, ángulo: 24.52
13:15:02.680 > t: 6540 ms, ángulo: 24.52
13:15:02.680 > t: 6543 ms, ángulo: 24.61
13:15:02.680 > t: 6547 ms, ángulo: 24.61
13:15:02.690 > t: 6550 ms, ángulo: 24.61
13:15:02.697 > t: 6554 ms, ángulo: 24.70
13:15:02.697 > t: 6557 ms, ángulo: 24.70
13:15:02.697 > t: 6561 ms, ángulo: 24.79
13:15:02.697 > t: 6564 ms, ángulo: 24.79
13:15:02.697 > t: 6568 ms, ángulo: 24.79
13:15:02.713 > t: 6571 ms, ángulo: 24.87
13:15:02.713 > t: 6575 ms, ángulo: 24.87
13:15:02.713 > t: 6578 ms, ángulo: 24.96
13:15:02.713 > t: 6582 ms, ángulo: 24.96
13:15:02.713 > t: 6585 ms, ángulo: 25.05
13:15:02.730 > t: 6589 ms, ángulo: 25.14
13:15:02.730 > t: 6592 ms, ángulo: 25.14
13:15:02.730 > t: 6596 ms, ángulo: 25.22
13:15:02.730 > t: 6599 ms, ángulo: 25.31
13:15:02.745 > t: 6603 ms, ángulo: 25.31
13:15:02.747 > t: 6606 ms, ángulo: 25.40
13:15:02.747 > t: 6610 ms, ángulo: 25.40
13:15:02.755 > t: 6613 ms, ángulo: 25.49
13:15:02.755 > t: 6617 ms, ángulo: 25.58
13:15:02.763 > t: 6620 ms, ángulo: 25.66
13:15:02.763 > t: 6624 ms, ángulo: 25.75
13:15:02.763 > t: 6627 ms, ángulo: 25.75
13:15:02.763 > t: 6631 ms, ángulo: 25.84
13:15:02.763 > t: 6634 ms, ángulo: 25.93
13:15:02.780 > t: 6638 ms, ángulo: 26.02
13:15:02.780 > t: 6641 ms, ángulo: 26.02
13:15:02.780 > t: 6645 ms, ángulo: 26.10
13:15:02.780 > t: 6648 ms, ángulo: 26.19
13:15:02.795 > t: 6652 ms, ángulo: 26.19
13:15:02.797 > t: 6655 ms, ángulo: 26.28
13:15:02.797 > t: 6659 ms, ángulo: 26.37
13:15:02.805 > t: 6662 ms, ángulo: 26.46
13:15:02.805 > t: 6666 ms, ángulo: 26.54
13:15:02.813 > t: 6669 ms, ángulo: 26.54
13:15:02.813 > t: 6673 ms, ángulo: 26.63
13:15:02.813 > t: 6676 ms, ángulo: 26.72
13:15:02.813 > t: 6680 ms, ángulo: 26.81
13:15:02.813 > t: 6683 ms, ángulo: 26.81
13:15:02.829 > t: 6687 ms, ángulo: 26.89
13:15:02.831 > t: 6690 ms, ángulo: 26.98
13:15:02.831 > t: 6694 ms, ángulo: 27.07
13:15:02.831 > t: 6697 ms, ángulo: 27.16
13:15:02.831 > t: 6701 ms, ángulo: 27.16
13:15:02.847 > t: 6704 ms, ángulo: 27.25
13:15:02.847 > t: 6708 ms, ángulo: 27.25
13:15:02.847 > t: 6711 ms, ángulo: 27.33
13:15:02.856 > t: 6715 ms, ángulo: 27.42
13:15:02.856 > t: 6718 ms, ángulo: 27.42
13:15:02.863 > t: 6722 ms, ángulo: 27.51
13:15:02.863 > t: 6725 ms, ángulo: 27.60
